team_id,off_elo,def_elo
1,1770.0,1800.0
18,1580.0,1762.12121212121
13,1800.0,1777.27272727273
7,1670.0,1663.63636363636
14,1690.0,1504.54545454545
8,1460.0,1731.81818181818
12,1660.0,1496.9696969697
17,1600.0,1678.78787878788
6,1650.0,1519.69696969697
2,1530.0,1686.36363636364
4,1610.0,1398.48484848485
5,1640.0,1496.9696969697
9,1440.0,1603.0303030303
10,1440.0,1481.81818181818
15,1440.0,1580.30303030303
3,1480.0,1330.30303030303
11,1340.0,1360.60606060606
16,1400.0,1451.51515151515
19,1470.0,1398.48484848485
20,1300.0,1300.0
