code,id,first_name,second_name,web_name,selected_by_percent,team,team_code,status,news
44699,218,Ashley,Barnes,Barnes,1.3,3,90,a,
220598,219,Michael,Obafemi,Obafemi,0.1,3,90,u,has joined VfL Bochum  on loan for the rest of the season.
67089,470,Martin,Dúbravka,Dúbravka,34.3,3,90,a,
503714,676,Lesley,Ugochukwu,Ugochukwu,0.1,3,90,a,
440323,680,Armando,Broja,Broja,0.1,3,90,a,
216055,722,Florentino Ibrain,Morris Luís,Florentino,0.1,3,90,a,
69752,66,Norberto,Murara Neto,Neto,0.1,4,91,u,Has joined Botafogo permanently.
457569,67,Đorđe,Petrović,Petrović,5.6,4,91,a,
444172,68,Will,Dennis,Dennis,1.0,4,91,a,
568791,69,Callan,McKenna,McKenna,0.2,4,91,a,
495145,70,Alex,Paulsen,Paulsen,0.1,4,91,u,Has joined Lechia Gdansk on loan for the rest of the season.
477580,71,Illia,Zabarnyi,Zabarnyi,0.0,4,91,u,Has joined Paris Saint-Germain permanently.
221466,72,Marcos,Senesi Barón,Senesi,26.3,4,91,a,
54469,73,Adam,Smith,Smith,0.2,4,91,a,
494521,74,Adrien,Truffert,Truffert,2.3,4,91,a,
541462,75,Matai,Akinmboni,Akinmboni,0.3,4,91,a,
518906,76,Owen,Bevan,Bevan,0.2,4,91,a,
463981,77,James,Hill,Hill,0.9,4,91,a,
436893,78,Julián,Araujo Zúñiga,J.Araujo,0.7,4,91,a,
223911,79,Chris,Mepham,Mepham,0.1,4,91,u,has joined West Bromwich Albion permanently.
575901,80,Julio,Soler Barreto,Soler,0.2,4,91,a,
222683,81,Justin,Kluivert,Kluivert,1.1,4,91,a,
437730,82,Antoine,Semenyo,Semenyo,64.1,4,91,a,
201658,84,Marcus,Tavernier,Tavernier,1.4,4,91,a,
200785,85,Tyler,Adams,Adams,0.4,4,91,a,
111317,86,David,Brooks,Brooks,0.2,4,91,a,
158499,87,Ryan,Christie,Christie,0.1,4,91,a,
155408,88,Lewis,Cook,Cook,0.0,4,91,a,
168991,89,Philip,Billing,Philip,0.0,4,91,u,Has joined Midtjylland permanently.
503139,90,Alex,Scott,Scott,0.3,4,91,a,
224995,91,Luis,Sinisterra Lucumí,Sinisterra,0.0,4,91,u,Has joined Cruzeiro on loan for the rest of the season.
441240,92,Romain,Faivre,Faivre,0.1,4,91,u,has joined Al Taawoun permanently.
424044,93,Hamed,Traorè,H.Traorè,0.4,4,91,u,has joined Marseille on loan for the rest of the season.
550596,94,Dominic,Sadi,Sadi,0.0,4,91,u,has joined Novi Pazar on loan for the rest of the season.
530121,95,Zain,Silcott-Duberry,Silcott-Duberry,0.1,4,91,u,has joined Olympiakos permanently.
606775,96,Ben,Winterburn,Winterburn,0.0,4,91,u,has joined Barnet on loan for the rest of the season.
444102,97,Francisco Evanilson,de Lima Barbosa,Evanilson,1.5,4,91,a,
168636,98,Enes,Ünal,Enes Ünal,0.0,4,91,a,
590760,99,Daniel,Adu-Adjei,Adu-Adjei,0.2,4,91,u,has joined HNK Rijeka permanently.
560262,100,Eli Junior,Kroupi,Kroupi.Jr,3.7,4,91,a,
496208,391,Ben,Gannon-Doak,Gannon-Doak,0.0,4,91,a,
242882,685,Bafodé,Diakité,Diakité,0.5,4,91,a,
606774,687,Remy,Rees-Dottin,Rees-Dottin,0.1,4,91,a,
489888,697,Amine,Adli,Adli,0.0,4,91,a,
551483,713,Álex,Jiménez Sánchez,A.Jimenez,0.0,4,91,a,
620487,721,Veljko,Milosavljevic,Milosavljević,0.0,4,91,a,
200641,27,Reiss,Nelson,Nelson,0.1,5,94,a,
533463,83,Dango,Ouattara,O.Dango,0.5,5,94,a,
200720,101,Caoimhín,Kelleher,Kelleher,7.9,5,94,a,
235448,102,Ellery,Balcombe,Balcombe,0.3,5,94,a,
503300,103,Matthew,Cox,Cox,0.1,5,94,a,
535017,104,Julian,Eyestone,Eyestone,0.1,5,94,a,
507433,105,Hákon Rafn,Valdimarsson,Valdimarsson,0.7,5,94,a,
432830,106,Nathan,Collins,Collins,1.2,5,94,a,
249231,107,Keane,Lewis-Potter,Lewis-Potter,0.3,5,94,a,
