fixture_code,team_id,off_change,def_change
2561895,12,33.86,30.16
2561895,4,-30.16,-33.86
2561896,2,7.84,39.39999999999999
2561896,15,-39.39999999999999,-7.84
2561897,6,16.080000000000002,12.679999999999998
2561897,10,-12.679999999999998,-16.080000000000002
2561900,18,32.08,28.14
2561900,3,-28.14,-32.08
2561899,17,6.4399999999999995,25.919999999999995
2561899,19,-25.919999999999995,-6.4399999999999995
2561901,20,29.699999999999996,24.0
2561901,13,-24.0,-29.699999999999996
2561902,7,34.519999999999996,23.4
2561902,8,-23.4,-34.519999999999996
2561898,16,43.56,16.599999999999998
2561898,5,-16.599999999999998,-43.56
2561903,14,35.04,15.920000000000002
2561903,1,-15.920000000000002,-35.04
2561904,11,51.4,17.259999999999998
2561904,9,-17.259999999999998,-51.4
2561914,19,29.61920000000001,32.5824
2561914,7,-32.5824,-29.61920000000001
2561912,13,25.048400000000008,19.553200000000004
2561912,18,-19.553200000000004,-25.048400000000008
2561905,4,15.329600000000008,11.226400000000003
2561905,20,-11.226400000000003,-15.329600000000008
2561907,5,31.14,18.396000000000008
2561907,2,-18.396000000000008,-31.14
2561908,3,39.683600000000006,7.388800000000002
2561908,17,-7.388800000000002,-39.683600000000006
2561906,1,37.030800000000006,17.7736
2561906,11,-17.7736,-37.030800000000006
2561909,8,23.14,34.7952
2561909,16,-34.7952,-23.14
2561910,9,42.616400000000006,38.9112
2561910,6,-38.9112,-42.616400000000006
2561911,10,35.71600000000001,17.53280000000001
2561911,14,-17.53280000000001,-35.71600000000001
2561913,15,24.173600000000015,11.49800000000001
2561913,12,-11.49800000000001,-24.173600000000015
2561917,7,29.31091200000001,22.544687999999997
2561917,10,-22.544687999999997,-29.31091200000001
2561920,14,53.028096,30.999623999999997
2561920,3,-30.999623999999997,-53.028096
2561923,18,-9.509624,31.075319999999998
2561923,4,-31.075319999999998,9.509624
2561922,17,28.547087999999995,24.821784
2561922,5,-24.821784,-28.547087999999995
2561924,20,36.582256,34.47883999999999
2561924,9,-34.47883999999999,-36.582256
2561918,11,22.341895999999988,3.427336000000001
2561918,15,-3.427336000000001,-22.341895999999988
2561916,6,40.981064,21.480912000000004
2561916,13,-21.480912000000004,-40.981064
2561921,16,15.042656000000001,47.385647999999996
2561921,19,-47.385647999999996,-15.042656000000001
2561919,12,16.442295999999995,-3.5674639999999935
2561919,1,3.5674639999999935,-16.442295999999995
2561915,2,34.04987200000001,66.43119999999999
2561915,8,-66.43119999999999,-34.04987200000001
2561926,1,20.53004304000001,23.289030880000006
2561926,16,-23.289030880000006,-20.53004304000001
2561925,4,27.667013919999995,-6.316430400000003
