code,id,name,short_name
3,1,Arsenal,ARS
7,2,Aston Villa,AVL
90,3,Burnley,BUR
91,4,Bournemouth,BOU
94,5,Brentford,BRE
36,6,Brighton,BHA
8,7,Chelsea,CHE
31,8,Crystal Palace,CRY
11,9,Everton,EVE
54,10,Fulham,FUL
2,11,Leeds,LEE
14,12,Liverpool,LIV
43,13,Man City,MCI
1,14,Man Utd,MUN
4,15,Newcastle,NEW
17,16,Nott'm Forest,NFO
56,17,Sunderland,SUN
6,18,Spurs,TOT
21,19,West Ham,WHU
39,20,Wolves,WOL
