id,short_name
e4a775cb,NFO
b74092de,IPS
822bd0ba,LIV
19538871,MUN
18bb7c10,ARS
d07537b9,BHA
a2d435b3,LEI
8602292d,AVL
b2b47a98,NEW
d3fd31cc,EVE
b8fd03ef,MCI
47c64c55,CRY
cd051869,BRE
fd962109,FUL
4ba7cbea,BOU
cff3d9bb,CHE
8cec06e1,WOL
33c895d4,SOU
7c21e445,WHU
361ca564,TOT
943e8050,BUR
8ef52968,SUN
5bfb9659,LEE
